second,time,boxer_id,emotion,face_x,face_y,face_w,face_h,movement_intensity
0,00:00,1,fear,462,165,48,60,0.0
1,00:01,,no_face_detected,,,,,
2,00:02,,no_face_detected,,,,,
3,00:03,1,fear,274,211,61,107,118.82
4,00:04,1,sad,138,170,68,107,69.92
5,00:05,1,sad,111,168,74,114,19.66
6,00:06,1,sad,88,158,74,120,35.0
6,00:06,2,fear,356,142,64,80,30.07
7,00:07,1,sad,68,162,75,117,3.2
8,00:08,1,sad,53,171,71,109,27.52
9,00:09,1,sad,33,175,70,105,46.02
10,00:10,1,sad,18,173,70,107,20.65
11,00:11,1,sad,0,177,76,107,11.24
11,00:11,2,sad,375,120,81,107,1.8
12,00:12,1,fear,0,175,72,108,8.08
12,00:12,2,sad,392,129,75,100,3.54
13,00:13,1,neutral,398,133,80,99,10.69
14,00:14,1,fear,401,144,79,95,15.01
15,00:15,1,happy,396,152,81,100,20.59
